For 1 ROOM (Full Version),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private,FT,FU/Fixture,FU FT,,FT,FU/Fixture,FU FT,,FT,FU/Fixture,FU FT,,FT,FU/Fixture,FU FT,,FT,FU/Fixture,FU FT,,FT,FU/Fixture,FU FT,,FT,FU/Fixture,FU FT,,FT,FU/Fixture,FU FT,,FT,FU/Fixture,FU FT,,FT,FU/Fixture,FU FT,,FT,FU/Fixture,FU FT
Pipe Line Name,AB,,,,BC,,,,CD,,,,DE,,,,EF,,,,FG,,,,GH,,,,HI,,,,IJ,,,,JK,,,,KL,,
WC FV,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,
WC FT,5,3,15,,4,3,12,,4,3,12,,4,3,12,,3,3,9,,2,3,6,,2,3,6,,2,3,6,,1,3,3,,,3,-,,,3,-
LAR,5,1,5,,4,1,4,,4,1,4,,4,1,4,,4,1,4,,4,1,4,,2,1,2,,,1,-,,,1,-,,,1,-,,,1,-
BT,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-
SH,5,2,10,,4,2,8,,4,2,8,,2,2,4,,2,2,4,,2,2,4,,2,2,4,,2,2,4,,2,2,4,,2,2,4,,,2,-
KS,2,2,4,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-
LAUNDRY TRAYS (1 TO 3),,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-
COMBBINATION FIXTURE,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-
DISHWASHING MACHINE,,1,-,,,1,-,,,1,-,,,1,-,,,1,-,,,1,-,,,1,-,,,1,-,,,1,-,,,1,-,,,1,-
LAUNDRY MACHINE (3.5 KG),,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-,,,2,-
LAUNDRY MACHINE (7 KG),,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-,,,3,-
HB,3,,-,,2,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-
SUM,20,,34,,14,,24,,13,,24,,11,,20,,10,,17,,9,,14,,7,,12,,5,,10,,4,,7,,3,,4,,1,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ผลรวม FU FT แปลงออกมาเป็น อัตราการไหล เท่ากับ,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,
ผลรวม FU FV แปลงออกมาเป็น อัตราการไหล เท่ากับ,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,,,,gpm,
