ตาราง 2.1 อัตราการไหลและความดันสำหรับเครื่องสุขภัณฑ์,,,,,
สุขภัณฑ์,ความดัน bar,ความดัน psi,อัตราการไหล lps,อัตราการไหล gpm,
ordinary basin faucet,1,8,0,3,
self-closing basin faucet,1,12,0,3,
Sink Faucet,0,5,0,5,
Bathtub,0,5,0,6,
Laundary tub cock ,0,5,0,5,
Shower,1,12,0,5,
Ball cock for closet,1,15,0,3,
Flush valve for closet,0.7-1.4,20-Oct,0.9-2.5,15-40,
Flush valve for urinal,1,15,1,15,
ที่มา National Plumbing Code Handbook Table 18.3.2,,,,,
,,,,,
ตาราง ความต้องการน้ำต่อวัน,,,,,
อาคารอยู่อาศัยประเทภ apartment,100-300,ลิตร/คน/วัน,,,
อาคารสำนักงาน ,40-75,ลิตร/คน/วัน,,,
โรงพยาบาล,600-1200,ลิตร/เตียง/วัน,,,
โรงเรียน ,50-80,ลิตร/คน/วัน,,,
โรงแรม ,200-400,ลิตร/ห้อง/วัน,,,
หอพัก,200-300,ลิตร/คน/วัน,,,
โรงซักรีด,20-40,ลิตร/ผ้า 1 กก,,,
สนามบิน,15-25,ลิตร/ผู้โดยสารหนึ่งคน ,,,
ที่มา การออกแบบระบบท่อภายในอาคาร ดร.วริทธิ์ อึ้งภากรณ์,,,,,
,,,,,
ขนาดท่อที่เล็กที่สุดที่แนะนำให้ใช้สำหรับเครื่องสุขภัณฑ์แต่ละชนิด,,,,,
ชนิดของเครื่องสุขภัณฑ์,ขนาดท่อ mm.,ขนาดท่อ in.,,,
Bathtub (อ่างอาบน้ำ) - BT,15,2-Jan,,,
Dringking fountain  (น้ำพุดื่ม) - DF,10,8-Mar,,,
Dishwasher  (เครื่องล้างชาม) - DW,15,2-Jan,,,
Kitchen sink  (อ่างล้างสำหรับครัว) - KS,15,2-Jan,,,
Lavatory  (อ่างล้างมือ) - LAR,15,2-Jan,,,
Shower  (ฝักบัวอาบน้ำ) - SH,15,2-Jan,,,
Urinal (angle valve)  (โถปัสสวะชาย) - UR,15,2-Jan,,,
Urinal (flush value) - UR FV,20,4-Mar,,,
Water closet (flush tank)  (โถส้วม) - WC,15,2-Jan,,,
Water closet (flush valve)  - WA FV,25,1,,,
Hose bibb  (ก๊อกสนาม) - HB,15,2-Jan,,,
Service sink  (อ่างซักล้าง ) - SS,20,4-Mar,,,
ที่มา การออกแบบระบบท่อภายในอาคาร ดร.วริทธิ์ อึ้งภากรณ์,,,,,
,,,,,
ตาราง 2.2 Load value assigned to fixtures.,,,,,
Fixture of Group ,Occupancy ,Type of Supply Control ,Fixture Units. ,,
,,,Hot น้ำร้อนใช้อันนี้,Cold ,Total  ประปาใช้อันนี้
Water closet,Public,Flush value,,10,10
Water closet,Public,Flush tank,,5,5
Urinal,Public,"1"" Flush value",,10,10
Urinal,Public,"3/4"" Flush value",,5,5
Urinal,Public,Flush tank,,3,3
Lavatory ,Public,Faucet,2,2,2
Bathtub,Public,Faucet,3,3,4
Shower head ,Public,Mixing value ,3,3,4
Service sink ,"Office, etc",Faucet ,2,2,3
Kitchen sink ,Hotel or Restaurant ,Faucet,3,3,4
Drinking fountain ,"Office, etc","3/8"" value ",,0,0
Water closet,Private,Flush value ,,6,6
Water closet,Private,Flush tank ,,3,3
Lavatory ,Private,Faucet,1,1,1
Bathtub ,Private,Faucet,2,2,2
Shower stall ,Private,Mixing value ,2,2,2
Kitchen sink ,Private,Faucet ,2,2,2
Laundry trays ( 1 to 3) ,Private,Faucet ,2,2,3
Combbination fixture ,Private,Faucet ,2,2,3
Dishwashing machine ,Private,Automatic,1,-,1
Laundry machine (3.5 kg) ,Private,Automatic,2,2,2
Laundry machine (3.5 kg) ,Public or general ,Automatic,2,2,3
Laundry machine (7 kg) ,Public or general ,Automatic,2,3,4
"ที่มา National Standard Plumbing Code, Appendix B, Table B.5.2",,,,,
,,,,,
ตาราง 2.3 อัตราความต้องการน้ำสูงสุด (Hunter's curve),,,,,
supply system predominantly for flush tanks ,,supply system predominantly for flush valves,,,
Load (water supply) FU,Demand gpm,Load (water supply) FU,Demand gpm,,
,,,,,
,,,,,
,,,,,
6,5,,,,
8,6.5,,,,
10,8,10,27,,
12,9.2,12,28.6,,
14,10.4,14,30.2,,
16,11.6,16,31.8,,
18,12.8,18,33.4,,
20,14,20,35,,
25,17,25,38,,
30,20,30,41,,
35,22.5,35,43.5,,
40,24.8,40,46.5,,
45,27,45,49,,
50,29,50,51.5,,
60,32,60,55,,
70,35,70,58.5,,
80,38,80,62,,
90,41,90,64.8,,
100,43.5,100,67.5,,
120,48,120,72.5,,
140,52.5,140,77.5,,
160,57,160,82.5,,
180,61,180,87,,
200,65,200,91.5,,
225,70,225,97,,
250,75,250,101,,
275,80,275,105.5,,
300,85,300,110,,
400,105,400,126,,
500,125,500,142,,
750,170,750,178,,
1000,208,1000,208,,
1250,240,1250,240,,
1500,267,1500,267,,
1750,294,1750,294,,
2000,321,2000,321,,
2250,348,2250,348,,
2500,375,2500,375,,
2750,402,2750,402,,
3000,432,3000,432,,
4000,525,4000,525,,
5000,593,5000,593,,
6000,643,6000,643,,
7000,685,7000,685,,
8000,718,8000,718,,
9000,745,9000,745,,
10000,769,10000,769,,
"ที่มา National Standard Plumbing Code, Chapter 10, Table 10.13.2.B.",,,,,
,,,,,
ตาราง 2.4 Hospital water factors,,,,,
FU,"Hunter, gpm",percent,"Adjusted, gpm","Minimum, gpm",
Up to 400,125,100,125,,
401-600,155,90,140,130,
601-1200,235,77,180,145,
1201-1500,270,74,200,185,
1501-2000,330,70,230,205,
2001-2500,385,69,265,235,
2501-3000,435,68,295,270,
3001-4000,560,65,365,300,
4001-5000,675,64,430,370,
5001-6000,775,63,490,435,
6001-8000,975,62,600,495,
9001-10000,1175,61,720,605,
10001-13000,1460,60,875,725,
ที่มา การออกแบบระบบท่อภายในอาคาร ดร.วริทธิ์ อึ้งภากรณ์,,,,,
,,,,,
"ตาราง 2.5 Office Buildings, School, and Apartment water factor*",,,,,
FU,"Hunter, gpm",percent,"Adjusted, gpm","Minimum, gpm",
Up to 400,125,100,125,,
401-600,155,87,135,130,
601-900,195,75,145,140,
901-1200,235,64,150,150,
1201-1500,270,63,170,155,
1501-2000,330,61,200,175,
2001-2500,385,60,230,205,
2501-3000,435,59,255,235,
3001-4000,550,58,320,260,
4001-5000,675,56,380,325,
5001-6000,775,56,435,385,
6001-7000,875,56,490,440,
7001-8000,975,55,540,495,
ที่มา การออกแบบระบบท่อภายในอาคาร ดร.วริทธิ์ อึ้งภากรณ์,,,,,
,,,,,
สมการ 2.3,,,,,
ส่วนความดันลดหาได้จากสูตร Hazen - Williams คือ ,,,,,
hf = (4.727/D^4.87)*L(Q/C)^1.85,,,,,
hf = ความดันลด เป็นฟุตของน้ำ ,,,,,
D = ขนาดเส้นผ่าศูนย์กลางของท่อ เป็นฟุต,,,,,
L = ความยาวของท่อ เป็นฟุต,,,,,
Q = อัตราการไหล เป็น ลูกบาศก์ฟุต/วินาที,,,,,
C = สัมประสิทธิ์ความหยาบ ,,,,,
,,,,,
สมการ ,,,,,
ส่วนความดันลดหาได้จากสูตร Hazen - Williams คือ ,,,,,
hf = (10.583/D^4.87)*L(Q/C)^1.85,,,,,
hf = ความดันลด เป็นเมตรของน้ำ ,,,,,
D = ขนาดเส้นผ่าศูนย์กลางของท่อ เป็นเมตร,,,,,
L = ความยาวของท่อ เป็นเมตร,,,,,
Q = อัตราการไหล เป็น ลูกบาศก์เมตร/วินาที,,,,,
C = สัมประสิทธิ์ความหยาบ ,,,,,
,,,,,
ค่า C ของแต่ละชนิดท่อ,,,,,
ชนิดของท่อ,ช่วงค่า C,ค่า C เฉลี่ย,ค่า C ที่นิยมใช้,,
ท่อเหล็กหล่อแบบเหนียว (ใหม่),150 - 80,130,100,,
ท่อ Cast Iron อายุการใช้งาน 10 ปี,113 - 107,,,,
ท่อ Cast Iron อายุการใช้งาน 20 ปี,100 - 89,,,,
ท่อ Cast Iron อายุการใช้งาน 30 ปี,75 - 90,,,,
ท่อ Cast Iron อายุการใช้งาน 40 ปี,83 - 64,,,,
Tar Coated Cast Iron,145 - 50,130,100,,
ท่อ Steel (ใหม่),150 - 80,130,100,,
Corrugated Steel,,60,60,,
Cement Lined Iron / Steel,160 - 130,148,140,,
Asphalt Lined Iron / Steel,140 - 130,,,,
"Copper, Brass, Lead, Glass",150 - 120,140,130,,
Aluminum,150 - 130,,,,
Concrete,152 - 85,120,100,,
Asbestos Cement,140,,,,
PVC,160 - 150,155,150,,
PE,140,,,,
,,,,,
ตาราง 2.6 Water-pips sizes. Number of 15 mm. (1/2 mm.) connections allowed. ,,,,,
"Pipe size, mm.(in.)",Average demand,100 percent demand,,,
15 (1/2),1,1,,,
20 (3/4),4,3,,,
25 (1),10,6,,,
30 (1 3/4),20,12,,,
40 (1 1/2),30,20,,,
50 (2),50,35,,,
65 (2 1/2),90,60,,,
80 (3),125,85,,,
100 (4),225,150,,,
ที่มา การออกแบบระบบท่อภายในอาคาร ดร.วริทธิ์ อึ้งภากรณ์,,,,,
,,,,,
ตาราง 2.7 Water-pipe sizes : Flush Valves*,,,,,
"Pipe size, mm. (in)","Number of 25 mm. (1 in) 
in flush valve allowed",,,,
30 (1 1/4),1,,,,
40 (1 1/2),4-Feb,,,,
50 (2),12-May,,,,
65 (2 1/2),13-25,,,,
80 (3),26-40,,,,
100 (4),41-100,,,,
ที่มา การออกแบบระบบท่อภายในอาคาร ดร.วริทธิ์ อึ้งภากรณ์,,,,,
